time,Load,avg_p,avg_psie_active,max_d
0,0,0,0,0
1,-28961.21048126,-230.47769137593,0.080852044465783,0
2,-16907.889982396,-134.5555446207,0.029243511412065,0
3,-19026.868275523,-151.4186942253,0.042760825197081,0
4,-17211.353309769,-136.97055165763,0.041890405709494,0
5,-15983.17777223,-127.19654505388,0.046765313545361,0
6,-15130.272761116,-120.40899803295,0.053307860442469,0
7,-13841.251575147,-110.15077256034,0.060642085479531,0
8,-12996.457056371,-103.42777006358,0.070350020416113,0
9,-11890.675072444,-94.62778986298,0.080433023627099,0
10,-10954.985710449,-87.181432462373,0.09191218412896,0
11,-10035.483780517,-79.863897093346,0.10428725844226,0
12,-9126.0749784466,-72.626684361726,0.11720666854052,0
13,-8244.2444959094,-65.60894406625,0.1307181520103,0
14,-7437.0453228747,-59.185131014583,0.14474010318115,0
15,-6611.7863995077,-52.617595739492,0.15888414179951,0
16,-5845.8605166463,-46.522241770735,0.17325442687325,0
17,-5114.0263519821,-40.698194849388,0.18766032627715,0
18,-4394.564880026,-34.972611687122,0.20193476755201,0
19,-3722.1602654888,-29.621514110267,0.21608577528422,0
20,-3071.8967121199,-24.446618445483,0.23000495988047,0
21,-2441.9062145955,-19.433058823997,0.24371196791356,0
22,-1829.8351125409,-14.562104460721,0.25744543861701,0
23,-1202.6307178075,-9.5707170664502,0.27179407645734,0
24,-520.36692181885,-4.1411586330899,0.28813493731238,0
25,287.68796880865,2.2894643485482,0.30907831066521,0
26,1318.1632168733,10.490142160259,0.33891259066258,0
27,2667.3440535609,21.227127228257,0.38360282574437,0
28,4393.2868245088,34.962440728099,0.44978360529752,0
29,6468.0453299245,51.473682576923,0.54207182521335,0
30,8756.5261823085,69.68575917354,0.65886926571653,0
31,11051.45493529,87.949149137911,0.7893150064337,0
32,13160.070454197,104.72983021861,0.91616924949932,0
33,14988.659865326,119.28202119917,1.0258273782783,0
34,16565.019512937,131.82692958947,1.1177853147123,0
35,17984.337845764,143.12207945515,1.2034011631334,0
36,19327.882288694,153.81420924952,1.294201806116,0
37,20621.025244284,164.10523638791,1.3910962515651,0
38,21845.065298534,173.84633219044,1.4847812792401,0
39,22968.74782939,182.78876764971,1.5662536699577,0
40,23970.199400251,190.75847065043,1.6353980946952,0
41,24848.131359632,197.74518590925,1.6982265638716,0
42,25623.584586868,203.91635992489,1.7580362500492,0
43,26322.676252695,209.47983709047,1.8122798012495,0
44,26951.095892922,214.4808955921,1.8574301588721,0
45,27494.202767242,218.80302220502,1.8936404921336,0
46,27946.474808201,222.40227148162,1.923452323582,0
47,28328.99072104,225.44639094489,1.9483469267165,0
48,28672.866762475,228.18300846993,1.9686885491136,0
49,29001.938754287,230.80181312999,1.9861931632579,0
50,29344.718518756,233.5297063172,2.0049386381224,0
51,29752.500107918,236.77489385232,2.0304054442424,0
52,30291.475039861,241.06413784314,2.0687052598497,0
53,31018.920511533,246.85325888217,2.1263355821659,0
